company_name,country,region,industry,company_size,estimated_deal_value_usd,engagement_signal
Andina AgroExport,Colombia,LATAM,Agribusiness,180,250000,hot
Solis Renewables,Brazil,LATAM,Renewable Energy,90,180000,warm
Gulf Trade Partners,UAE,MENA,Logistics & Trade,300,500000,hot
Atlas Government Services,Saudi Arabia,MENA,Government / Public Sector,1200,1200000,cold
Verde Capital,Brazil,LATAM,Fintech,60,90000,warm
Lusitana Properties,Portugal,EU,Real Estate,40,150000,hot
Pampa Energy Holdings,Argentina,LATAM,Renewable Energy,220,400000,warm
North Sea Logistics,Italy,EU,Logistics & Trade,500,300000,cold
Sahara Fintech,Saudi Arabia,MENA,Fintech,80,120000,hot
Continental Foods Mexico,Mexico,LATAM,Agribusiness,150,220000,warm
